symbol,company_name,industry,yahoo_symbol,latest_close,price_date,return_63d,return_126d,return_189d,return_252d,weighted_momentum,rs_rating,is_high_rs,vcp_stars,vcp_trend_template,vcp_range_position,vcp_contracting_ranges,vcp_contracting_volatility,vcp_pivot_readiness,close,sma50,sma150,sma200,sma200_20d_ago,high_252,low_252,pct_below_high,pct_above_low,range_60_pct,range_30_pct,range_15_pct,atr_50_pct,atr_20_pct,atr_10_pct,pivot_55,distance_to_pivot_pct,avg_volume_10,avg_volume_50,volume_ratio,live_price,breakout_pct,is_breakout,quote_status,quote_timestamp,breakout_reason
SUVEN,Suven Life Sciences Limited,,SUVEN.NS,330.54998779296875,2026-08-12,0.5654747684009873,1.0865420503316585,0.8120271412722813,0.2520832870945786,0.6563204031000986,94,True,4,True,True,True,True,False,330.54998779296875,300.5710009765625,219.1668007405599,208.54610076904297,196.75670082092284,371.0,124.11000061035156,10.902968249873657,166.33630341421397,60.884644484119946,35.47562232288634,18.64027328622526,5.581304167433722,5.227652093503167,4.932688680438523,371.0,10.902968249873652,636374.2,1554334.02,0.4094192057894994,329.8999938964844,-11.07816876105543,False,LIVE,2026-08-13T12:14:00+05:30,live price not above pivot
INOXINDIA,INOX India Limited,,INOXINDIA.NS,1911.199951171875,2026-08-12,0.3353093329521546,0.638128936600171,0.6246376316819773,0.6723461703325573,0.521146280903803,90,True,4,True,True,True,True,False,1911.199951171875,1899.0039208984374,1482.6481852213542,1402.0433135986327,1324.8539276123047,2119.800048828125,1063.7207176384813,9.840555375568039,79.67121627703597,48.915893364960986,18.53053119492323,14.46819640042489,5.231909572460301,4.299655096429291,3.7923827407698374,2119.800048828125,9.84055537556804,182545.2,447834.1,0.4076179102931198,1942.4000244140625,-8.368714988573256,False,LIVE,2026-08-13T12:14:00+05:30,live price not above pivot
THYROCARE,Thyrocare Technologies Limited,,THYROCARE.NS,645.0,2026-08-12,0.41381655535935713,0.6079617820584344,0.414683772524866,0.4630801289066897,0.4626717588417409,88,True,4,True,True,True,False,True,645.0,552.296752319336,461.13469482421874,459.82257080078125,441.47229782104495,662.0,338.148639887055,2.5679758308157052,90.7445199884395,45.754528119408704,30.95944609297725,22.36598890942699,3.6915416975271085,3.8042640390322195,3.3108534702034884,662.0,2.56797583081571,535842.6,750278.08,0.7141919966527611,609.4500122070312,-7.938064621294371,False,LIVE,2026-08-13T12:15:00+05:30,live price not above pivot
SSWL,Steel Strips Wheels Limited,,SSWL.NS,312.5,2026-08-12,0.513757005930557,0.3704337221983631,0.410580524828249,0.44307149876715335,0.45031995153097587,87,True,4,True,True,True,False,True,312.5,261.0205999755859,223.52480041503907,218.37585052490235,210.88145042419433,328.3999938964844,169.0,4.841654747867096,84.91124260355029,68.61778761498053,40.12629844735506,18.637331307721396,3.5034239257812496,3.99648046875,3.8892822265625,328.3999938964844,4.841654747867092,811813.8,1318356.4,0.6157771904471356,311.70001220703125,-5.085256394589688,False,LIVE,2026-08-13T12:15:00+05:30,live price not above pivot
ACMESOLAR,Acme Solar Holdings Limited,,ACMESOLAR.NS,372.6000061035156,2026-08-12,0.350000022114187,0.5731475469781928,0.4810501720340681,0.34728488487445763,0.42029652962301856,86,True,4,True,True,True,True,False,372.6000061035156,364.78699951171876,293.43903483072916,280.58959022521975,271.65250663757325,398.6499938964844,195.72747422084996,6.534551158110147,90.3667370085667,43.03910169919503,15.651285111371008,13.446467636937335,3.916800860192719,3.639291160050443,3.244766288675153,398.6499938964844,6.534551158110147,2069601.8,2090779.64,0.9898708407166239,372.6499938964844,-6.5220118896455626,False,LIVE,2026-08-13T12:14:00+05:30,live price not above pivot
ATALREAL,Atal Realtech Limited,,ATALREAL.NS,35.5,2026-08-12,0.23650300007148406,0.354444915682234,0.4372469191687296,0.8195796813701313,0.4168555032728126,86,True,4,True,True,True,True,False,35.5,30.673399963378905,27.53099988301595,26.768049955368042,25.77229995727539,35.880001068115234,17.75,1.0590887870762122,100.0,56.4762345860779,32.057419828352664,19.004980172746954,4.0777469688737895,2.992958552400831,2.7183102889799735,35.880001068115234,1.0590887870762142,11596648.6,8877082.64,1.3063580762159042,35.66999816894531,-0.585292343696564,False,LIVE,2026-08-13T12:15:00+05:30,live price not above pivot
FEDERALBNK,The Federal Bank  Limited,,FEDERALBNK.NS,356.8500061035156,2026-08-12,0.2685745523961778,0.26430471604434236,0.5127814109408797,0.8074320230297529,0.42433345096146613,86,True,4,True,True,True,False,True,356.8500061035156,335.19499938964844,299.6526670328776,287.8816007232666,273.1137007904053,371.70001220703125,188.39999389648438,3.995158895836781,89.410837401399,31.319564825031463,15.077403160071595,6.230356870768128,1.9201355378965712,2.1535673410522524,2.1787874229438646,371.70001220703125,3.995158895836785,4490613.7,7292528.58,0.6157828043781215,352.79998779296875,-5.084752163940065,False,LIVE,2026-08-13T12:14:00+05:30,live price not above pivot
ANANDRATHI,Anand Rathi Wealth Limited,,ANANDRATHI.NS,2189.0,2026-08-12,0.22184697068990733,0.48025543323933984,0.42195494254623545,0.6910032565340498,0.407381514739888,85,True,4,True,True,True,False,True,2189.0,1981.61400390625,1746.4954313151043,1685.2646270751952,1627.0389331054687,2222.0,1265.0626422868197,1.4851485148514865,73.03490964234021,29.895944797899986,14.235773373584552,10.98346871263041,2.3666512605641845,2.068295746755796,2.1283686721962085,2222.0,1.4851485148514851,265327.3,430555.52,0.6162441025027388,2195.300048828125,-1.2016179645308322,False,LIVE,2026-08-13T12:14:00+05:30,live price not above pivot
AEROENTER,Aeroflex Enterprises Limited,,AEROENTER.NS,129.88999938964844,2026-08-12,0.27668569016063804,0.5815171524828324,0.4566558490172139,0.3180424405692446,0.3819173644781134,84,True,4,True,True,True,True,False,129.88999938964844,123.27300048828126,97.16986663818359,94.24934989929199,90.34824981689454,149.5500030517578,62.20000076293945,13.146107162100984,108.82636301676807,60.11777367082921,24.804848298128938,17.824956172302404,5.6473933362004995,5.1070132867413,4.961120572393139,149.5500030517578,13.146107162100984,496321.7,1262746.54,0.3930493446452049,125.55999755859375,-16.04146105223505,False,LIVE,2026-08-13T12:15:00+05:30,live price not above pivot
BHEL,Bharat Heavy Electricals Limited,,BHEL.NS,420.0,2026-08-12,0.05788311459109052,0.5260950300915244,0.4742997334434853,0.8482906793575136,0.39289033441494087,84,True,4,True,True,True,True,False,420.0,401.43018493652346,335.67182912190754,321.1161725616455,303.48382125854494,446.5,204.46044916421653,5.935050391937291,105.41870162021824,21.85536398218457,20.47884009763997,6.801515523763432,3.1861492840189074,2.9850103936796626,2.382142566499256,446.5,5.93505039193729,6811173.2,13246652.16,0.5141807241355086,415.3999938964844,-6.9652869212801,False,LIVE,2026-08-13T12:14:00+05:30,live price not above pivot
