symbol,company_name,industry,yahoo_symbol,latest_close,price_date,return_63d,return_126d,return_189d,return_252d,weighted_momentum,rs_rating,is_high_rs
JSWDULUX,JSW Dulux Limited,,JSWDULUX.NS,3099.39990234375,2026-08-12,0.07180660924537885,0.04148552650749959,-0.047974570744072076,-0.09281995210686012,0.008860844429465026,42,False
AXISBANK,Axis Bank Limited,,AXISBANK.NS,1230.0,2026-08-12,-0.011127485194626918,-0.0926891228245843,0.006910960945146316,0.143791725145628,0.007151718575387232,41,False
BHARTIARTL,Bharti Airtel Limited,,BHARTIARTL.NS,1945.0,2026-08-12,0.03362982957871963,-0.020793415055974762,-0.03565671731311226,0.024382761013658882,0.007038457560402223,41,False
MSUMI,Motherson Sumi Wiring India Limited,,MSUMI.NS,41.040000915527344,2026-08-12,0.039073563992606086,-0.028112177697798835,-0.10306597253370431,0.08766133487947236,0.00692606252663628,41,False
OIL,Oil India Limited,,OIL.NS,472.0,2026-08-12,-0.08933048212122074,-0.01970198907407783,0.10814308587389276,0.1220663234121504,0.006369291193904773,41,False
INDIQUBE,Indiqube Spaces Limited,,INDIQUBE.NS,183.7899932861328,2026-08-12,0.09640271987474747,0.05626432923064839,-0.09844995224237063,-0.12489291711612238,0.005145379924330062,41,False
SANDUMA,Sandur Manganese & Iron Ores Limited,,SANDUMA.NS,202.88999938964844,2026-08-12,-0.09299171894269265,-0.039492100871901914,-0.013208722408511231,0.26278411600071805,0.004819970966983923,41,False
PAGEIND,Page Industries Limited,,PAGEIND.NS,38295.0,2026-08-12,0.04414864701361432,0.10701324517444943,-0.025963554906342723,-0.15065879581189479,0.003737637696688119,41,False
JBMA,JBM Auto Limited,,JBMA.NS,628.0999755859375,2026-08-12,-0.021041147932824078,0.040503520554989736,-0.006878071843043565,0.027007935796672378,0.0037102177285940783,41,False
TIMKEN,Timken India Limited,,TIMKEN.NS,3235.0,2026-08-12,-0.08314087024728967,0.0019536893135683187,0.07049765292200383,0.10880953365190948,0.0029958270785804646,41,False
NOCIL,NOCIL Limited,,NOCIL.NS,163.44000244140625,2026-08-12,0.0029574085969350516,0.0838081079970785,-0.023057982789511766,-0.05365750740732367,0.0026014869988226306,41,False
JYOTICNC,Jyoti CNC Automation Limited,,JYOTICNC.NS,818.8499755859375,2026-08-12,0.1576305984991917,-0.008235994219161769,-0.14004414504470752,-0.15477912272545913,0.002440387001810991,40,False
BLACKBUCK,BLACKBUCK LIMITED,,BLACKBUCK.NS,568.0499877929688,2026-08-12,0.0703786974313596,-0.09329610886996209,-0.13643964984117218,0.09863649783204487,0.0019316267967259618,40,False
CRISIL,Crisil Limited,,CRISIL.NS,4507.10009765625,2026-08-12,0.09181443838192416,-0.025152238427661677,-0.033376101054134244,-0.11728930940304327,0.0015622455758018267,40,False
LICI,Life Insurance Corporation Of India,,LICI.NS,417.0,2026-08-12,0.06807222671847057,-0.04278349757162703,-0.052243015209050614,-0.03553680998483033,0.0011162261342866353,40,False
COALINDIA,Coal India Limited,,COALINDIA.NS,409.29998779296875,2026-08-12,-0.10262244536173493,-0.024826602775518958,0.09783439523813509,0.13723541674126083,0.000999663696081423,40,False
RVTH,Revathi Equipment India Limited,,RVTH.NS,721.2999877929688,2026-08-12,0.09122539756878778,0.1526967443754994,-0.14931009903977788,-0.19009655561868177,-0.0008518230290769369,40,False
BPCL,Bharat Petroleum Corporation Limited,,BPCL.NS,317.0,2026-08-12,0.114431310937255,-0.17950046591932634,-0.12884625964626018,0.07209327576120761,-0.0014781655859737782,40,False
MMTC,MMTC Limited,,MMTC.NS,64.43000030517578,2026-08-12,0.022860749140148906,-0.026295872932124986,-0.029668692401088714,0.00015526446002422922,-0.002017560518578332,40,False
MANYAVAR,Vedant Fashions Limited,,MANYAVAR.NS,522.4000244140625,2026-08-12,0.18781273059056303,0.06395116988607441,-0.1696733622468154,-0.2809371086856711,-0.0022067679730572234,40,False
MOLDTKPAC,Mold-Tek Packaging Limited,,MOLDTKPAC.NS,685.4500122070312,2026-08-12,-0.02524175155272068,0.15606046787124495,0.003780708705685365,-0.1206162413309888,-0.0022517135718999673,40,False
HARSHA,Harsha Engineers International Limited,,HARSHA.NS,399.8999938964844,2026-08-12,-0.010623104230532254,0.009154449285224242,0.03638668744619422,-0.038153258084140385,-0.002771665962757285,39,False
NITCO,Nitco Limited,,NITCO.NS,96.80999755859375,2026-08-12,0.0060271659713952985,0.131354422155612,0.04738718207244985,-0.21439588638015983,-0.004719990041861473,39,False
SAKSOFT,Saksoft Limited,,SAKSOFT.NS,162.99000549316406,2026-08-12,0.20898628495990623,-0.03203820334866514,-0.19169288892349623,-0.2217837484235088,-0.005508454155171531,39,False
ABBOTINDIA,Abbott India Limited,,ABBOTINDIA.NS,28140.0,2026-08-12,0.030725870906872954,0.055082644727959096,-0.025432132503047322,-0.11985084048231143,-0.005749717288730749,39,False
PTC,PTC India Limited,,PTC.NS,165.41000366210938,2026-08-12,-0.11660799557729895,0.001966626777088143,0.1510587632673248,0.05007524193903823,-0.00602307183422935,39,False
KNAGRI,KN Agri Resources Limited,,KNAGRI.NS,201.27999877929688,2026-08-12,0.03913268947071846,0.19411486529791389,-0.10542222764756948,-0.19808765426574948,-0.006225927534793632,39,False
NAVA,NAVA LIMITED,,NAVA.NS,586.7000122070312,2026-08-12,-0.057786336857827636,0.03555358337890313,0.06715540291876243,-0.019475250313232606,-0.006467787546244465,39,False
AXISCADES,AXISCADES Technologies Limited,,AXISCADES.NS,1543.4000244140625,2026-08-12,-0.250157903220775,0.24618492080263432,0.08483874139643222,0.13218902559912693,-0.007420623728671312,39,False
COROMANDEL,Coromandel International Limited,,COROMANDEL.NS,2079.5,2026-08-12,0.11562042826193752,-0.08250329938226253,-0.04048401888518982,-0.14586375326569812,-0.007522043001855078,39,False
